Resource ID,Resource,Previous For groups,Reviewed For groups,Changed,Decision note
res-switchpoint-red-hills-point,Switchpoint Red Hills / The Point at Red Hills supportive housing for seniors and veterans,Veterans & military families; Seniors; People experiencing homelessness; Low-income households,Veterans & military families; Seniors; People experiencing homelessness; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usda-section-502-direct-home-loan,USDA Section 502 Direct Home Loan - Southern Utah rural access,Low-income households,Low-income households; Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-uptha-low-rent-program,Utah Paiute Tribal Housing Authority Low Rent Program,Native & tribal communities,Native & tribal communities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sun-country-home-solutions-housing-counseling,Sun Country Home Solutions St. George housing counseling,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-consulate-mexico-slc-id-documents,Consulate of Mexico in Salt Lake City Mexican identity documents and certified birth records,,Immigrants & refugees; Families with children; Children & teens,Yes,Consular document support explicitly includes parental-consent rules for child documents.
res-ftc-identitytheft-recovery-plan,Federal Trade Commission IdentityTheft.gov Identity Theft Report and recovery plan,,,No,Identity fraud alone does not establish the abuse/assault/trafficking populations in the survivor definition.
res-irs-itin-form-w7,IRS Individual Taxpayer Identification Number (Form W-7) application,,Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-nara-nprc-dd214-replacement,National Archives NPRC military service records and DD Form 214 replacement,Veterans & military families,Veterans & military families,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-nn4y-vital-document-hotline-youth,I Am Here Vital Document Legal Hotline for Youth,Children & teens; People experiencing homelessness,Children & teens; People experiencing homelessness; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-nomas-legal-immigration-documents,No More A Stranger Foundation free immigration legal representation,Immigrants & refugees,Immigrants & refugees; Abuse & violence survivors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-lieutenant-governor-apostille,Office of the Utah Lieutenant Governor Apostille and document authentication,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-pitu-enrollment-shivwits-documentation,Paiute Indian Tribe of Utah Enrollment Services and Shivwits Band documentation access,Native & tribal communities,Native & tribal communities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-rainbow-law-legal-site-name-gender-marker,Rainbow Law Legal Site name and gender-marker legal clinic,LGBTQ+ people,LGBTQ+ people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sixfifty-identity-650,SixFifty Identity 650 Utah name-change and gender-marker paperwork tool,,LGBTQ+ people,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-st-george-police-online-report-id-theft,St. George Police Department online report and records starting point for stolen or misused IDs,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-uscis-immigration-document-replacement-fee-waiver,"USCIS Contact Center, Salt Lake City field office/ASC, accommodations, and fee-waiver pathways",People with disabilities; Immigrants & refugees; Low-income households,People with disabilities; Immigrants & refugees; Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-state-dept-lost-stolen-passport,U.S. Department of State lost or stolen U.S. passport replacement,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-state-dept-crba-replacement,U.S. Department of State Consular Report of Birth Abroad replacement or amendment,,Families with children; Children & teens,Yes,U.S. citizenship at birth abroad does not by itself establish immigrant status.
res-usps-red-rocks-passport-acceptance,USPS St. George Red Rocks Station passport acceptance,Children & teens,Children & teens; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-udc-reentry-vital-documents-assistance,Utah Department of Corrections reentry vital documents assistance,People leaving incarceration,People leaving incarceration,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-adoption-registry-original-birth-record,Utah Adoption Registry original birth record access,Families with children,,Yes,Adult adoptees and birth relatives; no minor service or adoption-from-foster-care requirement is stated.
res-utah-archives-reference-services-historical-records,Utah Division of Archives and Records Service reference services for historical vital and public records,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-courts-fact-of-birth-delayed-certificate,Utah State Courts Petition for Order Establishing Fact of Birth / delayed birth certificate,,Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-state-courts-fifth-district-st-george-records,Utah State Courts Fifth District St. George court records and certified-copy access,,,No,General court-record copies do not establish a dedicated population support service.
res-utah-tech-police-dpc-fingerprint-notary,Utah Tech University Police Department Driving Privilege Card fingerprint/photo packet and notary services,,Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-voteriders-voter-id-assistance,VoteRiders Helpline voter ID and supporting-document assistance,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-washington-county-clerk-passport-marriage-notary,"Washington County Clerk/Auditor marriage certified copies, notary, passport photos, and passport acceptance",,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-washington-county-recorder-military-discharge,Washington County Recorder/Surveyor recorded military discharges and certified copies,Veterans & military families,Veterans & military families,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-washington-county-sheriff-records-grama,Washington County Sheriff's Office Records / GRAMA Request,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-aclu-utah-immigrants-rights,ACLU of Utah immigrants' rights and 287(g) resources,Immigrants & refugees,Immigrants & refugees,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-aba-detention-information-hotline,ABA Commission on Immigration Detention Information Hotline,Immigrants & refugees,Immigrants & refugees,No,Civil immigration detention does not establish criminal-justice reentry service.
res-aba-federal-free-legal-answers,ABA Federal Free Legal Answers immigration questions,Veterans & military families; Immigrants & refugees; Low-income households,Veterans & military families; Immigrants & refugees; Low-income households; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-byu-community-legal-clinic,BYU Community Legal Clinic free civil and immigration help,Spanish-speaking people; Immigrants & refugees,Spanish-speaking people; Immigrants & refugees,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-el-salvador-consulate-slc-consular-assistance,Consulado General de El Salvador en Salt Lake City consular assistance and Consulado Virtual,,Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-elevate-utah-immigration-legal-program,Elevate Utah Immigration Legal Program,Immigrants & refugees; Low-income households,Immigrants & refugees; Low-income households; Abuse & violence survivors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-english-skills-learning-center-citizenship,English Skills Learning Center free citizenship preparation classes,,Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-reza-athari-st-george-immigration-law,Immigration Law Offices of Reza Athari St. George immigration law office,Immigrants & refugees,Immigrants & refugees,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-irc-utah-immigration-services,International Rescue Committee in Utah immigration services,Immigrants & refugees,Immigrants & refugees,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-lfsrm-utah-immigration-legal-services,Lutheran Family Services Rocky Mountains Salt Lake City Immigration Legal Services,Immigrants & refugees,Immigrants & refugees; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-military-onesource-citizenship-immigration,Military OneSource citizenship and immigration services for military families,Veterans & military families; Children & teens; Immigrants & refugees,Veterans & military families; Children & teens; Immigrants & refugees; Families with children; People with disabilities; Deaf & hard of hearing,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-guatemala-consulate-denver-utah-jurisdiction,Consulate General of Guatemala in Denver Utah consular jurisdiction and emergency assistance,,Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-monument-immigration-st-george,Monument Immigration St. George immigration attorney services,Spanish-speaking people; Immigrants & refugees,Spanish-speaking people; Immigrants & refugees,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-citizenshipworks-new-americans-campaign,Citizenshipworks / New Americans Campaign naturalization help,Spanish-speaking people,Spanish-speaking people; Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-pathway-immigrant-workers,Pathway for Immigrant Workers Pathways to Permanence,Immigrants & refugees,Immigrants & refugees; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-proseyo-affordable-immigration-services,Proseyo affordable immigration services,Spanish-speaking people; Immigrants & refugees,Spanish-speaking people; Immigrants & refugees; Abuse & violence survivors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-rumsey-law-firm-immigration,Rumsey Law Firm St. George immigration consultations,Immigrants & refugees,Immigrants & refugees; Students,Yes,F-1 visa work is explicitly listed as a student-immigration pathway.
res-simplecitizen-online-immigration-application-prep,SimpleCitizen online immigration application preparation and attorney-review packages,Immigrants & refugees,Immigrants & refugees,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-thrive-survivors-torture-immigration-legal-referral,THRIVE Center for Survivors of Torture case management and asylum legal representation,Immigrants & refugees; Abuse & violence survivors,Immigrants & refugees; Abuse & violence survivors,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-uscis-citizenship-resource-center-study-test,USCIS Citizenship Resource Center and naturalization test study resources,,Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-eoir-salt-lake-city-immigration-court,Salt Lake City Immigration Court and EOIR hearing access,Immigrants & refugees,Immigrants & refugees,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-dol-whd-u-t-visa-certification-workplace-crimes,U.S. Department of Labor WHD U and T visa certification requests for workplace crimes,Abuse & violence survivors,Abuse & violence survivors; Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ice-detainee-locator-dril,ICE Online Detainee Locator and Detention Reporting and Information Line,Spanish-speaking people,Spanish-speaking people; Immigrants & refugees; Abuse & violence survivors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-uofu-law-pro-bono-immigration-legal-site,University of Utah Pro Bono Initiative online legal sites,Immigrants & refugees; LGBTQ+ people,Immigrants & refugees; LGBTQ+ people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-us-journey-immigration-services,US Journey Immigration Services Utah immigration law firm,Spanish-speaking people; Immigrants & refugees,Spanish-speaking people; Immigrants & refugees,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dws-foreign-labor-certification-worker-rights,Utah DWS Foreign Labor Certification and H-2A/H-2B worker-rights materials,Spanish-speaking people; Immigrants & refugees,Spanish-speaking people; Immigrants & refugees,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-goed-citizenship-hub,Utah Citizenship Initiative / Utah Citizenship Hub,,Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-legal-services-migrant-farm-workers,Utah Legal Services Migrant Farm Workers Program,Immigrants & refugees; Low-income households,Immigrants & refugees; Low-income households; Abuse & violence survivors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-tech-international-programs-immigration-guidance,Utah Tech University Office of International Programs immigration guidance,Immigrants & refugees,Immigrants & refugees; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-wcsd-k12-esl-title-iii-language-access,Washington County School District K-12 ESL and Title III language-access support,Immigrants & refugees,Immigrants & refugees; Families with children; Children & teens; Students,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-1law-free-legal-chat,1LAW Free Legal Chat and Utah sandbox legal app,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-holy-cross-medical-debt-legal-advocates,Holy Cross Ministries Medical Debt Legal Advocates through Community Justice Advocates of Utah,,,No,Bilingual is stated without identifying Spanish; medical debt alone does not establish serious illness or lack of insurance.
res-legal-aid-self-help-lawyer-of-day,Legal Aid Society of Salt Lake and Utah Courts Lawyer of the Day,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-legal-aid-salt-lake-family-law-clinic,Legal Aid Society of Salt Lake Ask an Attorney Family Law Clinic,Low-income households,Low-income households; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-nonprofit-legal-services-utah,Nonprofit Legal Services of Utah low-cost civil legal services,,Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-peoples-legal-aid-eviction-debt,People's Legal Aid eviction representation and debt collection defense,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-irs-taxpayer-advocate-service-utah,Taxpayer Advocate Service Utah case advocacy,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-timpanogos-legal-center-document-clinic,Timpanogos Legal Center Document Clinic,Low-income households,Low-income households; Abuse & violence survivors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-hud-fheo-housing-discrimination-complaints,HUD Office of Fair Housing and Equal Opportunity complaint intake,People with disabilities,People with disabilities; Abuse & violence survivors; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-community-action-landlord-tenant-mediation,Utah Community Action Landlord-Tenant Mediation Program,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-dcp-consumer-protection-complaints,Utah Division of Consumer Protection complaint intake,Immigrants & refugees,Immigrants & refugees,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dopl-professional-licensing-complaints,Utah Division of Professional Licensing complaint process,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-hoa-ombudsman,Utah Office of the Homeowners' Association Ombudsman,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-property-rights-ombudsman,Utah Office of the Property Rights Ombudsman,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-dhhs-office-administrative-hearings,Utah DHHS Office of Administrative Hearings,,People with disabilities; Families with children; Children & teens; Abuse & violence survivors; Low-income households,Yes,"Appeal forum includes disability, child-protection, vulnerable-adult-protection and Medicaid benefit decisions."
res-utah-child-protection-ombudsman,Utah DHHS Office of the Child Protection Ombuds,Families with children; Caregivers; Foster & kinship families,Families with children; Caregivers; Foster & kinship families; Children & teens; Abuse & violence survivors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-va-legal-clinic-st-george,VA Legal Clinic - St. George,Veterans & military families,Veterans & military families,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-dws-adjudication-appeals,Utah Department of Workforce Services Division of Adjudication and Appeals,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-dispute-resolution-mediation,Utah Dispute Resolution family and community mediation,Low-income households,Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-labor-commission-wage-claim,Utah Labor Commission Wage Claim Unit,,Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-legal-services-senior-legal-services,Utah Legal Services Senior Legal Services and St. George civil legal aid,Seniors,Seniors; Abuse & violence survivors; People with disabilities,Yes,Senior-specific abuse/protective and guardianship legal help is listed.
res-utah-legal-services-pro-bono-program,Utah Legal Services Pro Bono Program,,People with disabilities; People leaving incarceration; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-usbe-special-education-dispute-resolution,Utah State Board of Education Special Education Dispute Resolution,People with disabilities; Students; Spanish-speaking people,People with disabilities; Students; Spanish-speaking people; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-courts-child-welfare-mediation,Utah State Courts Child Welfare Mediation Program,,Families with children; Children & teens; Abuse & violence survivors; Foster & kinship families,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-courts-divorce-mediation,Utah State Courts Divorce Mediation Program,,Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-courts-mypaperwork-ocap,Utah State Courts MyPaperwork / Online Court Assistance Program transition,,Families with children; Children & teens; Abuse & violence survivors; LGBTQ+ people,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-state-tax-commission-taxpayer-advocate,Utah State Tax Commission Taxpayer Advocate,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-utah-tax-help-services-low-income-taxpayer-clinic,Utah Tax Help Services Low Income Taxpayer Clinic,Low-income households,Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utahease-veterans-service-members-legal-referral,Utah@EASE pro bono legal referral for veterans and service members,Veterans & military families,Veterans & military families; Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-washington-county-coa-st-george-attorney-services,Washington County Council on Aging St. George Senior Citizen Center Attorney Services,Seniors,Seniors,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-westminster-low-income-taxpayer-clinic,Westminster University Low Income Taxpayer Clinic,Low-income households,Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-a-childs-hopeful-journey-play-art-therapy,"A Child's Hopeful Journey child play, art, and counseling services",Families with children; Children & teens; Caregivers,Families with children; Children & teens; Caregivers,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-abundance-family-therapy-bilingual,Abundance Family Therapy bilingual English and Spanish therapy,Spanish-speaking people,Spanish-speaking people; Families with children; Children & teens; Immigrants & refugees,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-affordable-psych-utah-telepsychiatry,Affordable Psych cash-pay adult telepsychiatry for St. George and Utah,,,No,Cash-only pricing alone does not establish a dedicated uninsured or income-discount program.
res-agape-counseling-washington-county,Agape Counseling Washington County outpatient counseling,People in recovery,People in recovery; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-anxiety-trauma-depression-stgeorge-iop,Anxiety Trauma and Depression Treatment Centers St. George IOP,Children & teens; Young adults,Children & teens; Young adults; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ascend-counseling-wellness-st-george,Ascend Counseling & Wellness St. George therapy and medication management,Families with children; Children & teens,Families with children; Children & teens,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-blue-chip-counseling-emdr,Blue Chip Counseling & EMDR therapy and medication management,Children & teens,Children & teens; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-brain-health-center-st-george-tms,Brain Health Center St. George TMS therapy,,,No,"Specialized depression treatment, but no population restriction or explicit serious/persistent illness diagnosis in the record."
res-core-compass-counseling-hurricane,Core Compass Counseling Hurricane Valley outpatient counseling,People in recovery; Families with children; Children & teens; Low-income households,People in recovery; Families with children; Children & teens; Low-income households; People leaving incarceration,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-elevated-counseling-wellness-stgeorge,Elevated Counseling and Wellness teen and young-adult therapy,People in recovery; Young adults,People in recovery; Young adults; Families with children; Children & teens,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-encircle-st-george-therapy-friendship-circles,Encircle St. George therapy and LGBTQ+ friendship circles,LGBTQ+ people,LGBTQ+ people; Families with children; Children & teens; Young adults; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-enlightened-counseling-services-st-george,Enlightened Counseling Services trauma-informed outpatient therapy,Families with children; Children & teens; People with disabilities; LGBTQ+ people,Families with children; Children & teens; People with disabilities; LGBTQ+ people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-foundations-psychiatry-st-george,Foundations Psychiatry St. George psychiatry and therapy,People in recovery; Seniors; Children & teens; Pregnant & postpartum people,People in recovery; Seniors; Children & teens; Pregnant & postpartum people; Families with children; People with disabilities; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-hillside-health-mental-health-medication,Hillside Health mental health and medication management,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-hope-reins-healing-equine-therapy,Hope Reins Healing no-cost equine therapy program,Low-income households,Low-income households,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-integrated-psych-st-george,"Integrated Psych St. George psychiatry, therapy, advanced treatments, and crisis appointments",Children & teens,Children & teens; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-stgeorge-adolescent-php,Intermountain Health St. George Regional Hospital Adolescent Partial Hospitalization Program,Children & teens,Children & teens; Families with children; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-stgeorge-inpatient-behavioral-health,Intermountain Health St. George Regional Hospital inpatient behavioral health,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-intermountain-behavioral-health-navigation-line,Intermountain Health Behavioral Health Navigation Line,,,No,Listing on a maternal-health resource page does not by itself establish a perinatal-specific navigation program.
res-intermountain-connect-care-behavioral-health,Intermountain Health Connect Care Behavioral Health,,Families with children; Children & teens; Pregnant & postpartum people; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-intermountain-stgeorge-psychiatry-counseling,Intermountain Health Psychiatry and Counseling Clinic - St. George,,,No,"Reviewed against all 25 definitions: the saved record supports broad public/adult access, without an established population-specific service or accommodation."
res-mental-health-wellness-southern-utah,Mental Health & Wellness of Southern Utah counseling and medication management,Children & teens,Children & teens; Families with children; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-new-aim-counseling,"New Aim Counseling individual, family, couples, trauma, and substance-use counseling",People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-red-sands-psychiatry-counseling,"Red Sands Psychiatry, Restorative Therapy, and Counseling",Children & teens,Children & teens; Families with children; People with disabilities; Caregivers; Uninsured & underinsured,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-revere-health-st-george-behavioral-health,Revere Health St. George Behavioral Health,People in recovery,People in recovery,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ss-counseling-st-george,S & S Counseling St. George counseling and trauma therapy,Families with children; Children & teens; Low-income households,Families with children; Children & teens; Low-income households; Veterans & military families,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sandstone-psychology-st-george,"Sandstone Psychology St. George therapy, testing, and medication management",Families with children; Children & teens; People with disabilities,Families with children; Children & teens; People with disabilities,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-stella-mental-health-st-george,Stella Mental Health St. George therapy and counseling,Children & teens,Children & teens; Families with children; People in recovery,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sunrise-mental-health-services,Sunrise Mental Health Services outpatient counseling and trauma care,Children & teens,Children & teens; Families with children,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-ripple-effect-counseling-mentoring,"The Ripple Effect TRE counseling, mentoring, and youth support programs",Children & teens; Young adults,Children & teens; Young adults; Families with children; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-trauma-treatment-counseling-stgeorge,Trauma Treatment & Counseling St. George therapy and psychiatric support,Families with children; Children & teens,Families with children; Children & teens,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-prep-southwest-sbhc,Utah PREP Southwest Behavioral Health Center early psychosis team,Children & teens; Young adults,Children & teens; Young adults; Families with children; People with disabilities; Caregivers; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-fop-officer-wellness-mental-health,Utah State FOP Foundation Officer Wellness Mental Health Program,,,No,Law-enforcement occupational benefit; police officers are not military veterans solely by occupation.
res-wcsd-student-mental-health-wellness,Washington County School District Student Mental Health & Wellness / School Counseling,Students,Students; Families with children; Children & teens; Caregivers,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-zion-mental-health-st-george,Zion Mental Health St. George psychiatric medication management,Children & teens,Children & teens; Families with children; Uninsured & underinsured,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-five-county-aaa-americorps-seniors,Five County Area Agency on Aging AmeriCorps Seniors and Telephone Reassurance,Seniors; Caregivers; Foster & kinship families,Seniors; Caregivers; People with disabilities,Yes,"Foster Grandparent is an older-adult volunteer program name, not foster/kinship-family eligibility."
res-huntsman-world-senior-games-active-aging,Huntsman World Senior Games active-aging events,,Seniors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-sage-hearme-lgbtq-aging-support,SAGE x HearMe and LGBTQ+ aging support resources,Seniors; LGBTQ+ people; Caregivers,Seniors; LGBTQ+ people; Caregivers,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-senior-planet-aarp-online-classes,"Senior Planet from AARP free online technology, wellness, and social-connection classes",Seniors,Seniors,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-seniors-out-proud-utah-lgbtq-social,Seniors Out and Proud of Utah LGBTQ+ older adult social connection,Seniors; LGBTQ+ people,Seniors; LGBTQ+ people,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-shepherd-hills-n2n,Shepherd of the Hills United Methodist Church Neighbor to Neighbor (N2N),Seniors; People with disabilities,Seniors; People with disabilities; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-swuhealth-community-health-healthy-living-injury-prevention,Southwest Utah Public Health Department Healthy Living and Injury Prevention classes,Seniors,Seniors; People with serious illness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-togohealth-dementia-care-caregiver-support,TogoHealth dementia care and caregiver support,Caregivers; People with serious illness,Caregivers; People with serious illness; People with disabilities,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-utah-food-bank-ufb-food-box-homebound,Utah Food Bank UFB Food Box Program for homebound adults with disabilities,Seniors; People with disabilities,Seniors; People with disabilities; Low-income households,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-va-homemaker-home-health-aide-care-st-george,VA Homemaker and Home Health Aide Care - St. George VA access,Veterans & military families; Caregivers,Veterans & military families; Caregivers; People with disabilities; Seniors,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-washington-county-coa-st-george-activities-support-groups,"Washington County Council on Aging St. George Active Life Center activities, fitness, and support groups",Seniors,Seniors,No,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
res-free-charity-cars-donated-vehicle,1-800-Charity Cars / Free Charity Cars donated vehicle application,Veterans & military families; Abuse & violence survivors; Low-income households,Veterans & military families; Abuse & violence survivors; Low-income households; People experiencing homelessness,Yes,Reviewed against all 25 definitions; supporting excerpts are in the audit evidence.
